"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","addDate","dropDate","identifiedDate","individualID","taxonID","scientificName","identificationQualifier","taxonRank","growthForm","samplingProtocol","measuredBy","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"3FED3A553AE04B98A4E1E102E78F7C7B","D10","CPER","CPER_077",40.818338,-104.746552,"WGS84",2.1,1649.9,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06081","THFI","Thelesperma filifolium (Hook.) A. Gray",,"species","Forb","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"C95EB149A3494367A8B92AEBC71A3370","D10","CPER","CPER_077",40.818333,-104.746487,"WGS84",2.1,1649.9,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06082","THFI","Thelesperma filifolium (Hook.) A. Gray",,"species","Forb","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"8186A2C695E24A17B2E675F05F199DC1","D10","CPER","CPER_077",40.818414,-104.746487,"WGS84",2.1,1649.3,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06084","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"A21FDACE968140FABD55CB87C6A47173","D10","CPER","CPER_077",40.818347,-104.746496,"WGS84",2.1,1649.8,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06083","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"C43891A587234948949A1FB378C92039","D10","CPER","CPER_077",40.818448,-104.746464,"WGS84",2.1,1649.0,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06085","THFI","Thelesperma filifolium (Hook.) A. Gray",,"species","Forb","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"CE93E3DF452A4DE39275E4F2282EE52C","D10","CPER","CPER_077",40.818540,-104.746434,"WGS84",2.1,1648.2,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06086","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"093B583C31164C7DAB88FF873B30B8F2","D10","CPER","CPER_077",40.818623,-104.746440,"WGS84",2.1,1647.5,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06087","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"BE482B46A8994D44B23B0ACA63CCDDCA","D10","CPER","CPER_077",40.818575,-104.746443,"WGS84",2.1,1647.9,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06088","THFI","Thelesperma filifolium (Hook.) A. Gray",,"species","Forb","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"58864B20AD3E4A8092211BF6C9353A92","D10","CPER","CPER_077",40.818665,-104.746529,"WGS84",2.1,1647.2,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06089","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"52FE16F27D5549AFA861023FCD66877C","D10","CPER","CPER_077",40.818670,-104.746510,"WGS84",2.1,1647.1,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06090","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"17DE625C82234A40BC4E44B11A1E5767","D10","CPER","CPER_077",40.818605,-104.746501,"WGS84",2.1,1647.7,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06091","THFI","Thelesperma filifolium (Hook.) A. Gray",,"species","Forb","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"2DBBA1398F6446B0ADDD6EE1A91D7D89","D10","CPER","CPER_077",40.818755,-104.745728,"WGS84",2.1,1645.9,,"2014-05-15",,"2014-05-15","NEON.PLA.D10.CPER.06200","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,0
