sampleID,Domain,SiteID,quarantinedYN,CollDate,Remarks
CPER_002_39_Mineral_9_ 22,D10,CPER,,20130701,1
CPER_002_23_Mineral_36_ 5,D10,CPER,,20130701,1
CPER_002_23_Mineral_36_ 5,D10,CPER,,20130701,1
CPER_003_41_Mineral_22_ 33,D10,CPER,,20130701,1
CPER_003_41_Mineral_22_ 33,D10,CPER,,20130701,1
CPER_003_39_Mineral_1_ 21,D10,CPER,,20130701,1
CPER_003_39_Mineral_1_ 21,D10,CPER,,20130701,1
CPER_003_21_Mineral_3_ 10,D10,CPER,,20130701,1
CPER_003_21_Mineral_3_ 10,D10,CPER,,20130701,1
CPER_004_41_Mineral_34_ 37,D10,CPER,,20130701,1
CPER_004_41_Mineral_34_ 37,D10,CPER,,20130701,1
CPER_004_39_Mineral_16_ 35,D10,CPER,,20130701,1
CPER_004_39_Mineral_16_ 35,D10,CPER,,20130701,1
CPER_004_39_Mineral_5_ 35,D10,CPER,,20130701,1
CPER_004_39_Mineral_5_ 35,D10,CPER,,20130701,1
CPER_001_39_Mineral_22_ 31,D10,CPER,,20130815,2
CPER_001_23_Mineral_36_ 5,D10,CPER,,20130815,2
CPER_001_21_Mineral_8_ 5,D10,CPER,,20130815,2
CPER_002_41_Mineral_39_ 37,D10,CPER,,20130815,2
CPER_002_23_Mineral_35_ 19,D10,CPER,,20130815,2
CPER_002_21_Mineral_10_ 14,D10,CPER,,20130815,2
CPER_003_39_Mineral_19_ 34,D10,CPER,,20130815,2
CPER_003_23_Mineral_25_ 5,D10,CPER,,20130815,2
CPER_003_21_Mineral_3_ 19,D10,CPER,,20130815,2
CPER_004_41_Mineral_28_ 33,D10,CPER,,20130815,2
CPER_004_39_Mineral_4_ 34,D10,CPER,,20130815,2
CPER_004_23_Mineral_40_ 9,D10,CPER,,20130815,2
CPER_001_21_Mineral_15_ 8,D10,CPER,,20130917,1
CPER_001_23_Mineral_30_ 8,D10,CPER,,20130917,1
CPER_001_39_Mineral_15_ 37,D10,CPER,,20130917,1
CPER_002_21_Mineral_0_ 5,D10,CPER,,20130917,1
CPER_002_39_Mineral_6_ 30,D10,CPER,,20130917,1
CPER_002_41_Mineral_39_ 34,D10,CPER,,20130917,1
CPER_003_21_Mineral_15_ 9,D10,CPER,,20130917,1
CPER_003_39_Mineral_5_ 30,D10,CPER,,20130917,1
CPER_003_41_Mineral_23_ 31,D10,CPER,,20130917,1
CPER_004_23_Mineral_37_ 13,D10,CPER,,20130917,1
CPER_004_39_Mineral_15_ 37,D10,CPER,,20130917,1
CPER_004_41_Mineral_34_ 29,D10,CPER,,20130917,1
CPER_001_41_Mineral_38_ 38,D10,CPER,,20131024,2
CPER_001_41_Mineral_38_ 38,D10,CPER,,20131024,2
CPER_001_39_Mineral_9_ 33,D10,CPER,,20131024,2
CPER_001_39_Mineral_9_ 33,D10,CPER,,20131024,2
CPER_001_23_Mineral_27_ 6,D10,CPER,,20131024,2
CPER_001_23_Mineral_27_ 6,D10,CPER,,20131024,2
CPER_002_41_Mineral_36_ 20,D10,CPER,,20131024,2
CPER_002_41_Mineral_36_ 20,D10,CPER,,20131024,2
CPER_002_39_Mineral_6_ 21,D10,CPER,,20131024,2
CPER_002_39_Mineral_6_ 21,D10,CPER,,20131024,2
CPER_002_23_Mineral_38_ 8,D10,CPER,,20131024,2
CPER_002_23_Mineral_38_ 8,D10,CPER,,20131024,2
CPER_003_41_Mineral_28_ 32,D10,CPER,,20131024,2
CPER_003_39_Mineral_4_ 26,D10,CPER,,20131024,2
CPER_003_23_Mineral_40_ 6,D10,CPER,,20131024,2
CPER_004_41_Mineral_37_ 36,D10,CPER,,20131024,2
CPER_004_39_Mineral_5_ 27,D10,CPER,,20131024,2
CPER_004_21_Mineral_8_ 1,D10,CPER,,20131024,2
CPER_001_41_Mineral_35_ 29_20131120,D10,CPER,,20131120,2
CPER_001_23_Mineral_30_ 7_20131120,D10,CPER,,20131120,2
CPER_001_21_Mineral_13_ 7_20131120,D10,CPER,,20131120,2
CPER_002_41_Mineral_31_ 27_20131120,D10,CPER,,20131120,2
CPER_002_23_Mineral_24_ 9_20131120,D10,CPER,,20131120,2
CPER_002_21_Mineral_4_ 14_20131120,D10,CPER,,20131120,2
CPER_003_41_Mineral_38_ 38_20131120,D10,CPER,,20131120,2
CPER_003_23_Mineral_37_ 0_20131120,D10,CPER,,20131120,2
CPER_003_21_Mineral_8_ 19_20131120,D10,CPER,,20131120,2
CPER_004_41_Mineral_29_ 34_20131120,D10,CPER,,20131120,2
CPER_004_23_Mineral_31_ 8_20131120,D10,CPER,,20131120,2
CPER_004_21_Mineral_19_ 1_20131120,D10,CPER,,20131120,2
CPER_001_41_Mineral_38_ 24_20131218,D10,CPER,,20131218,
CPER_001_23_Mineral_21_ 3_20131218,D10,CPER,,20131218,
CPER_001_21_Mineral_10_ 6_20131218,D10,CPER,,20131218,
CPER_001_41_Mineral_38_ 24_20140804,D10,CPER,,20131218,4
CPER_001_23_Mineral_21_ 3_20140804,D10,CPER,,20131218,4
CPER_001_21_Mineral_10_ 6_20140804,D10,CPER,,20131218,4
CPER_002_39_Mineral_17_ 32_20131218,D10,CPER,,20131218,
CPER_002_23_Mineral_28_ 8_20131218,D10,CPER,,20131218,
CPER_002_21_Mineral_9_ 19_20131218,D10,CPER,,20131218,
CPER_002_39_Mineral_17_ 32_20140804,D10,CPER,,20131218,4
CPER_002_23_Mineral_28_ 8_20140804,D10,CPER,,20131218,4
CPER_002_21_Mineral_9_ 19_20140804,D10,CPER,,20131218,4
CPER_003_39_Mineral_3_ 28_20131218,D10,CPER,,20131218,
CPER_003_23_Mineral_38_ 17_20131218,D10,CPER,,20131218,
CPER_003_21_Mineral_7_ 11_20131218,D10,CPER,,20131218,
CPER_003_39_Mineral_3_ 28_20140804,D10,CPER,,20131218,4
CPER_003_23_Mineral_38_ 17_20140804,D10,CPER,,20131218,4
CPER_003_21_Mineral_7_ 11_20140804,D10,CPER,,20131218,4
CPER_004_41_Mineral_37_ 27_20131218,D10,CPER,,20131218,
CPER_004_39_Mineral_14_ 34_20131218,D10,CPER,,20131218,
CPER_004_21_Mineral_6_ 0_20131218,D10,CPER,,20131218,
CPER_004_41_Mineral_37_ 27_20140804,D10,CPER,,20131218,4
CPER_004_39_Mineral_14_ 34_20140804,D10,CPER,,20131218,4
CPER_004_21_Mineral_6_ 0_20140804,D10,CPER,,20131218,4
CPER_001_41_Mineral_26_ 39,D10,CPER,,20140116,
CPER_001_23_Mineral_20_ 7,D10,CPER,,20140116,
CPER_001_21_Mineral_2_ 15,D10,CPER,,20140116,
CPER_003_41_Mineral_20_ 33,D10,CPER,,20140116,5
CPER_003_39_Mineral_7_ 21,D10,CPER,,20140116,5
CPER_003_23_Mineral_40_ 2,D10,CPER,,20140116,5
CPER_004_39_Mineral_16_ 37_20140116,D10,CPER,,20140116,2
CPER_004_39_Mineral_16_ 37,D10,CPER,,20140116,4
CPER_002_41_Mineral_38_ 30,D10,CPER,,20140117,2
CPER_002_39_Mineral_14_ 37,D10,CPER,,20140117,2
CPER_002_23_Mineral_34_ 0,D10,CPER,,20140117,2
CPER_004_23_Mineral_30_ 18_20140117,D10,CPER,,20140117,4
CPER_004_21_Mineral_10_ 5_20140117,D10,CPER,,20140117,4
CPER_004_23_Mineral_30_ 18,D10,CPER,,20140117,4
CPER_004_21_Mineral_10_ 5,D10,CPER,,20140117,1
CPER_001_21_Mineral_14_ 10,D10,CPER,,20140320,
CPER_001_23_Mineral_37_ 16,D10,CPER,,20140320,
CPER_001_41_Mineral_22_ 31,D10,CPER,,20140320,
CPER_002_21_Mineral_12_ 3,D10,CPER,,20140320,3
CPER_002_23_Mineral_35_ 17,D10,CPER,,20140320,3
CPER_002_41_Mineral_35_ 37,D10,CPER,,20140320,2
CPER_003_21_Mineral_1_ 2,D10,CPER,,20140320,5
CPER_003_23_Mineral_32_ 16,D10,CPER,,20140320,5
CPER_003_41_Mineral_32_ 28,D10,CPER,,20140320,5
CPER_004_21_Mineral_4_ 10,D10,CPER,,20140320,4
CPER_004_23_Mineral_25_ 7,D10,CPER,,20140320,
CPER_004_39_Mineral_20_ 35,D10,CPER,,20140320,1
CPER_001_21_Mineral_6_ 12,D10,CPER,,20140415,5
CPER_001_23_Mineral_33_ 14,D10,CPER,,20140415,5
CPER_001_41_Mineral_36_ 23,D10,CPER,,20140415,5
CPER_002_21_Mineral_9_ 11,D10,CPER,,20140415,
CPER_002_23_Mineral_37_ 14,D10,CPER,,20140415,3
CPER_002_39_Mineral_14_ 32,D10,CPER,,20140415,
CPER_003_21_Mineral_0_ 1,D10,CPER,,20140415,2
CPER_003_23_Mineral_35_ 15,D10,CPER,,20140415,5
CPER_003_39_Mineral_0_ 37,D10,CPER,,20140415,
CPER_004_21_Mineral_5_ 17 ,D10,CPER,,20140415,5
CPER_004_23_Mineral_39_ 15,D10,CPER,,20140415,5
CPER_004_41_Mineral_23_ 35,D10,CPER,,20140415,5
CPER_001_21_Mineral_6_ 9,D10,CPER,,20140516,
CPER_001_23_Mineral_32_ 16,D10,CPER,,20140516,
CPER_001_41_Mineral_22_ 34,D10,CPER,,20140516,
CPER_002_21_Mineral_0_ 19,D10,CPER,,20140516,1
CPER_002_21_Mineral_6_ 5,D10,CPER,,20140516,3
CPER_002_23_Mineral_32_ 1,D10,CPER,,20140516,3
CPER_003_21_Mineral_20_ 0,D10,CPER,,20140516,5
CPER_003_39_Mineral_15_ 34,D10,CPER,,20140516,5
CPER_003_41_Mineral_25_ 38,D10,CPER,,20140516,5
CPER_004_21_Mineral_13_ 2,D10,CPER,,20140516,4
CPER_004_23_Mineral_40_ 9,D10,CPER,,20140516,1
CPER_004_41_Mineral_28_ 30,D10,CPER,,20140516,
CPER_001_39_Mineral_20_ 40_20140609,D10,CPER,,20140609,
CPER_001_23_Mineral_24_ 7,D10,CPER,,20140609,
CPER_001_23_Mineral_33_ 19,D10,CPER,,20140609,
CPER_001_39_Mineral_20_ 40,D10,CPER,,20140609,
CPER_002_21_Mineral_10_ 3,D10,CPER,,20140609,3
CPER_002_39_Mineral_7_ 29,D10,CPER,,20140609,
CPER_002_41_Mineral_20_ 38,D10,CPER,,20140609,3
CPER_003_21_Mineral_1_ 13_20140609,D10,CPER,,20140609,2
CPER_003_21_Mineral_1_ 13,D10,CPER,,20140609,5
CPER_003_23_Mineral_35_ 19,D10,CPER,,20140609,
CPER_003_41_Mineral_40_ 21,D10,CPER,,20140609,5
CPER_004_39_Mineral_8_ 24_20140609,D10,CPER,,20140609,
CPER_004_41_Mineral_37_ 37_20140609,D10,CPER,,20140609,1
CPER_004_23_Mineral_30_ 6,D10,CPER,,20140609,4
CPER_004_39_Mineral_8_ 24,D10,CPER,,20140609,
CPER_004_41_Mineral_37_ 37,D10,CPER,,20140609,1
CPER_001_21_Mineral_1_ 6,D10,CPER,,20140715,1
CPER_001_21_Mineral_7_ 5,D10,CPER,,20140715,1
CPER_001_21_Mineral_9_ 17,D10,CPER,,20140715,1
CPER_002_21_Mineral_11_ 0,D10,CPER,,20140715,3
CPER_002_23_Mineral_30_ 5,D10,CPER,,20140715,3
CPER_002_41_Mineral_27_ 36,D10,CPER,,20140715,3
CPER_004_23_Mineral_33_ 4,D10,CPER,,20140715,1
CPER_004_41_Mineral_20_ 40,D10,CPER,,20140715,1
CPER_004_41_Mineral_21_ 38,D10,CPER,,20140715,1
CPER_006_21_Mineral_2_ 0,D10,CPER,,20140715,1
CPER_006_21_Mineral_8_ 11,D10,CPER,,20140715,1
CPER_006_41_Mineral_39_ 30,D10,CPER,,20140715,1
CPER_003_21_Mineral_1_ 7,D10,CPER,,20140716,1
CPER_003_23_Mineral_33_ 0,D10,CPER,,20140716,1
CPER_003_39_Mineral_3_ 26,D10,CPER,,20140716,1
CPER_045_23_Mineral_33_ 4,D10,CPER,,20140716,1
CPER_045_41_Mineral_23_ 30,D10,CPER,,20140716,1
