easting,northing,dbh.cm,stemrad.m,maxcanopy.m,mincanopy.m,canopyrad.m,firstbranch.m,height.m,species,color,status
403863.84,3285078.4,NA,NA,1.1,NA,0.55,NA,2,Qula,"#00a651""""",Alive
403870.87,3285081.57,NA,NA,1.1,NA,0.55,NA,2,Qula,"#00a651""""",Dead
403871.96,3285083.88,NA,NA,1.1,NA,0.55,NA,1.8,Qula,"#00a651""""",Dead
403890.11,3285079.07,NA,NA,1.1,NA,0.55,NA,1.8,Qula,"#00a651""""",Dead
403908.08,3285090.99,NA,NA,1.1,NA,0.55,NA,2.3,Qula,"#00a651""""",Dead
403929.83,3285110.78,NA,NA,1.1,NA,0.55,NA,1.9,Qula,"#00a651""""",Dead
403926.79,3285117.91,NA,NA,1.1,NA,0.55,NA,3.2,Qula,"#00a651""""",Alive
403928.76,3285117.08,NA,NA,1.1,NA,0.55,NA,1.9,Qula,"#00a651""""",Dead
403937.51,3285105.61,NA,NA,1.1,NA,0.55,NA,2.4,Qula,"#00a651""""",Dead
403938.97,3285108.28,NA,NA,1.1,NA,0.55,NA,1.8,Qula,"#00a651""""",Dead
403867.04,3285081.88,5.4,0.027,1.3,1,0.58,2.2,5.3,Qula,"#00a651""""",Alive
403865.81,3285067.06,9.6,0.048,1.2,1.1,0.58,2.4,5.7,Qula,"#00a651""""",Alive
403854.46,3285072.8,NA,NA,1.2,NA,0.6,NA,1.9,Qula,"#00a651""""",Dead
403887.83,3285084.21,NA,NA,1.2,NA,0.6,NA,2.3,Qula,"#00a651""""",Dead
403917.05,3285091.73,NA,NA,1.2,NA,0.6,NA,1.9,Qula,"#00a651""""",Alive
403928.31,3285098.51,NA,NA,1.2,NA,0.6,NA,2,Qula,"#00a651""""",Dead
403930.24,3285105.83,NA,NA,1.2,NA,0.6,NA,1.7,Qula,"#00a651""""",Dead
403933.28,3285110.79,NA,NA,1.2,NA,0.6,NA,1.9,Qula,"#00a651""""",Dead
403842.62,3285046.37,13.5,0.068,2,0.5,0.63,4.6,10.3,Qula,"#00a651""""",Dead
403857.06,3285063.94,6.5,0.033,1.8,0.7,0.63,NA,2,Qula,"#00a651""""",Alive
403869.94,3285066.84,7,0.035,1.4,1.1,0.63,1.5,5.7,Qula,"#00a651""""",Alive
403868.33,3285062.97,4.9,0.025,1.2,1.3,0.63,1.5,6.1,Qula,"#00a651""""",Alive
403906.79,3285091.88,NA,NA,1.3,NA,0.65,NA,2.2,Qula,"#00a651""""",Dead
403924.34,3285116.97,NA,NA,1.3,NA,0.65,1,2.3,Qula,"#00a651""""",Alive
403932.38,3285121.45,NA,NA,1.3,NA,0.65,NA,2,Qula,"#00a651""""",Alive
403840.09,3285056.91,8.4,0.042,1.8,0.9,0.66,1.8,4.7,Qula,"#00a651""""",Alive
403912.01,3285091.34,NA,NA,1.4,NA,0.7,NA,2.1,Qula,"#00a651""""",Alive
403865.74,3285081.13,8.8,0.044,1.5,1.4,0.73,1.3,7.1,Qula,"#00a651""""",Alive
403866.83,3285061.97,6,0.03,1.5,NA,0.75,NA,2,Qula,"#00a651""""",Alive
403916.1,3285093.04,NA,NA,1.5,NA,0.75,NA,2.3,Qula,"#00a651""""",Alive
403926.82,3285116.66,NA,NA,1.5,NA,0.75,NA,3.5,Qula,"#00a651""""",Alive
403931.18,3285114.66,NA,NA,1.5,NA,0.75,NA,3,Qula,"#00a651""""",Alive
403861.43,3285065.32,9.5,0.048,2.7,0.4,0.78,3.5,8.8,Qula,"#00a651""""",Alive
403863.17,3285073.49,7.1,0.036,2.1,1,0.78,1.4,6.4,Qula,"#00a651""""",Alive
403861.67,3285063.55,7.5,0.038,1.8,1.3,0.78,2.6,7.7,Qula,"#00a651""""",Alive
403877.88,3285070.62,9.5,0.048,1.8,1.3,0.78,3.5,7.9,Qula,"#00a651""""",Alive
403841.41,3285049.77,11.5,0.058,2.2,1,0.8,2.4,8.2,Qula,"#00a651""""",Alive
403866,3285061.77,6,0.03,1.7,1.5,0.8,2,4.5,Qula,"#00a651""""",Alive
403892.68,3285085.99,NA,NA,1.6,NA,0.8,NA,1.9,Qula,"#00a651""""",Dead
403842,3285068.39,9.1,0.046,1.9,1.8,0.93,1.3,5.3,Qula,"#00a651""""",Alive
403859.35,3285072.36,8,0.04,2.8,1.1,0.98,1.4,5.1,Qula,"#00a651""""",Alive
403920.9,3285116.74,10,0.05,2.8,1.2,1,1.5,4.9,Qula,"#00a651""""",Alive
403859.98,3285067.12,9.5,0.048,2.7,1.3,1,1.8,7.9,Qula,"#00a651""""",Alive
403869.93,3285080.45,9.2,0.046,2.6,1.4,1,1.8,7,Qula,"#00a651""""",Alive
403880.01,3285072.3,7.9,0.04,2.3,1.7,1,0.8,6.3,Qula,"#00a651""""",Alive
403862.58,3285069.71,9.4,0.047,2.8,1.3,1.03,1.2,7.7,Qula,"#00a651""""",Alive
403868.81,3285066.55,8,0.04,2.5,1.6,1.03,1.6,7.8,Qula,"#00a651""""",Alive
403850.95,3285070.32,11.1,0.056,2.1,2.1,1.05,1.3,9.2,Qula,"#00a651""""",Alive
403862.82,3285070.96,8.4,0.042,2.6,1.8,1.1,1.3,7.2,Qula,"#00a651""""",Alive
403843.08,3285055.97,10.6,0.053,3.2,1.3,1.13,2.7,8,Qula,"#00a651""""",Alive
