mortonOrder,plotID,siteID,nlcdClass,plotType,subtype,applicableModules
81,TALL_010,TALL,deciduousForest,distributed,birdGrid,brd
81,TALL_010,TALL,deciduousForest,distributed,mammalGrid,mam
93,TALL_011,TALL,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
93,TALL_011,TALL,deciduousForest,distributed,birdGrid,brd
137,TALL_015,TALL,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
137,TALL_015,TALL,deciduousForest,distributed,birdGrid,brd
137,TALL_015,TALL,deciduousForest,distributed,mammalGrid,mam
223,TALL_022,TALL,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
257,TALL_023,TALL,deciduousForest,distributed,basePlot,div
265,TALL_024,TALL,deciduousForest,distributed,basePlot,div
265,TALL_024,TALL,deciduousForest,distributed,mammalGrid,mam
307,TALL_027,TALL,deciduousForest,distributed,basePlot,div
307,TALL_027,TALL,deciduousForest,distributed,birdGrid,brd
853,TALL_034,TALL,deciduousForest,distributed,mosquitoPoint,mpt|mos
3091,TALL_040,TALL,deciduousForest,distributed,mosquitoPoint,mpt|mos
3699,TALL_041,TALL,deciduousForest,distributed,mosquitoPoint,mpt|mos
21,TALL_004,TALL,evergreenForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
21,TALL_004,TALL,evergreenForest,distributed,birdGrid,brd
35,TALL_006,TALL,evergreenForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
35,TALL_006,TALL,evergreenForest,distributed,birdGrid,brd
35,TALL_006,TALL,evergreenForest,distributed,mammalGrid,mam
35,TALL_006,TALL,evergreenForest,distributed,tickPlot,tck
79,TALL_009,TALL,evergreenForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
79,TALL_009,TALL,evergreenForest,distributed,birdGrid,brd
131,TALL_013,TALL,evergreenForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
131,TALL_013,TALL,evergreenForest,distributed,birdGrid,brd
131,TALL_013,TALL,evergreenForest,distributed,mammalGrid,mam
141,TALL_016,TALL,evergreenForest,distributed,basePlot,cdw|dhp|div|hbp|vst
141,TALL_016,TALL,evergreenForest,distributed,tickPlot,tck
161,TALL_018,TALL,evergreenForest,distributed,basePlot,cdw|dhp|div|hbp|vst
161,TALL_018,TALL,evergreenForest,distributed,birdGrid,brd
213,TALL_020,TALL,evergreenForest,distributed,basePlot,cdw|dhp|div|hbp|vst
221,TALL_021,TALL,evergreenForest,distributed,basePlot,div
291,TALL_026,TALL,evergreenForest,distributed,basePlot,div
337,TALL_028,TALL,evergreenForest,distributed,mosquitoPoint,mpt|mos
351,TALL_031,TALL,evergreenForest,distributed,basePlot,div
351,TALL_031,TALL,evergreenForest,distributed,mammalGrid,mam
1039,TALL_035,TALL,evergreenForest,distributed,mosquitoPoint,mpt|mos
2001,TALL_038,TALL,evergreenForest,distributed,mosquitoPoint,mpt|mos
2961,TALL_039,TALL,evergreenForest,distributed,mosquitoPoint,mpt|mos
9,TALL_002,TALL,mixedForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
9,TALL_002,TALL,mixedForest,distributed,birdGrid,brd
9,TALL_002,TALL,mixedForest,distributed,tickPlot,tck
15,TALL_003,TALL,mixedForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
15,TALL_003,TALL,mixedForest,distributed,tickPlot,tck
31,TALL_005,TALL,mixedForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
31,TALL_005,TALL,mixedForest,distributed,mammalGrid,mam
97,TALL_012,TALL,mixedForest,distributed,basePlot,cdw|dhp|div|hbp|vst
97,TALL_012,TALL,mixedForest,distributed,birdGrid,brd
97,TALL_012,TALL,mixedForest,distributed,mammalGrid,mam
143,TALL_017,TALL,mixedForest,distributed,basePlot,cdw|dhp|div|hbp|vst
143,TALL_017,TALL,mixedForest,distributed,birdGrid,brd
169,TALL_019,TALL,mixedForest,distributed,basePlot,cdw|dhp|div|hbp|vst
169,TALL_019,TALL,mixedForest,distributed,birdGrid,brd
287,TALL_025,TALL,mixedForest,distributed,basePlot,div
287,TALL_025,TALL,mixedForest,distributed,birdGrid,brd
339,TALL_029,TALL,mixedForest,distributed,basePlot,div
349,TALL_030,TALL,mixedForest,distributed,basePlot,div
467,TALL_032,TALL,mixedForest,distributed,basePlot,div
717,TALL_033,TALL,mixedForest,distributed,mosquitoPoint,mpt|mos
1379,TALL_036,TALL,mixedForest,distributed,mosquitoPoint,mpt|mos
1635,TALL_037,TALL,mixedForest,distributed,mosquitoPoint,mpt|mos
5677,TALL_042,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
9773,TALL_043,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
1581,TALL_044,TALL,,tower,basePlot,bbc|bgc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
12845,TALL_045,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
8749,TALL_046,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
2605,TALL_047,TALL,,tower,basePlot,bbc|bgc|cdw|dhp|hbp|ltr|mfb|sme|vst
70189,TALL_048,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
22317,TALL_049,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
6701,TALL_050,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
557,TALL_051,TALL,,tower,basePlot,bbc|bgc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
59437,TALL_052,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
31021,TALL_053,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
2093,TALL_054,TALL,,tower,basePlot,bbc|bgc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
15405,TALL_055,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
6189,TALL_056,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
45101,TALL_057,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
105773,TALL_058,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
81197,TALL_059,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
159277,TALL_060,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
7213,TALL_061,TALL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
21037,TALL_063,TALL,,tower,phenology,phe
47,ORNL_001,ORNL,deciduousForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
47,ORNL_001,ORNL,deciduousForest,distributed,mammalGrid,mam
54,ORNL_002,ORNL,deciduousForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
54,ORNL_002,ORNL,deciduousForest,distributed,birdGrid,brd
54,ORNL_002,ORNL,deciduousForest,distributed,mammalGrid,mam
54,ORNL_002,ORNL,deciduousForest,distributed,tickPlot,tck
86,ORNL_003,ORNL,deciduousForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
86,ORNL_003,ORNL,deciduousForest,distributed,birdGrid,brd
86,ORNL_003,ORNL,deciduousForest,distributed,mammalGrid,mam
86,ORNL_003,ORNL,deciduousForest,distributed,tickPlot,tck
111,ORNL_004,ORNL,deciduousForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
111,ORNL_004,ORNL,deciduousForest,distributed,birdGrid,brd
111,ORNL_004,ORNL,deciduousForest,distributed,mammalGrid,mam
151,ORNL_005,ORNL,,distributed,mosquitoPoint,mpt|mos
203,ORNL_006,ORNL,deciduousForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
203,ORNL_006,ORNL,deciduousForest,distributed,birdGrid,brd
203,ORNL_006,ORNL,deciduousForest,distributed,mammalGrid,mam
203,ORNL_006,ORNL,deciduousForest,distributed,tickPlot,
223,ORNL_007,ORNL,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
223,ORNL_007,ORNL,deciduousForest,distributed,birdGrid,brd
223,ORNL_007,ORNL,deciduousForest,distributed,mammalGrid,mam
223,ORNL_007,ORNL,deciduousForest,distributed,tickPlot,tck
267,ORNL_008,ORNL,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
267,ORNL_008,ORNL,deciduousForest,distributed,tickPlot,tck
342,ORNL_009,ORNL,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
342,ORNL_009,ORNL,deciduousForest,distributed,tickPlot,tck
395,ORNL_010,ORNL,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
395,ORNL_010,ORNL,deciduousForest,distributed,birdGrid,brd
403,ORNL_011,ORNL,,distributed,mosquitoPoint,mpt|mos
422,ORNL_012,ORNL,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
422,ORNL_012,ORNL,deciduousForest,distributed,birdGrid,brd
479,ORNL_013,ORNL,,distributed,mosquitoPoint,mpt|mos
491,ORNL_014,ORNL,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
598,ORNL_015,ORNL,deciduousForest,distributed,basePlot,div
619,ORNL_016,ORNL,deciduousForest,distributed,basePlot,div
635,ORNL_017,ORNL,deciduousForest,distributed,basePlot,div
683,ORNL_018,ORNL,deciduousForest,distributed,basePlot,div
715,ORNL_019,ORNL,deciduousForest,distributed,basePlot,div
747,ORNL_020,ORNL,deciduousForest,distributed,basePlot,div
966,ORNL_021,ORNL,pastureHay,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
999,ORNL_022,ORNL,,distributed,mosquitoPoint,mpt|mos
1631,ORNL_023,ORNL,,distributed,mosquitoPoint,mpt|mos
1687,ORNL_024,ORNL,,distributed,mosquitoPoint,mpt|mos
1895,ORNL_025,ORNL,,distributed,mosquitoPoint,mpt|mos
2315,ORNL_026,ORNL,,distributed,mosquitoPoint,mpt|mos
3050,ORNL_027,ORNL,evergreenForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
3050,ORNL_027,ORNL,evergreenForest,distributed,birdGrid,brd
3050,ORNL_027,ORNL,evergreenForest,distributed,mammalGrid,mam
3050,ORNL_027,ORNL,evergreenForest,distributed,tickPlot,
3163,ORNL_028,ORNL,,distributed,mosquitoPoint,mpt|mos
3750,ORNL_029,ORNL,evergreenForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
3750,ORNL_029,ORNL,evergreenForest,distributed,birdGrid,brd
3750,ORNL_029,ORNL,evergreenForest,distributed,mammalGrid,
7110,ORNL_030,ORNL,,distributed,mosquitoPoint,mpt|mos
8134,ORNL_031,ORNL,pastureHay,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
9163,ORNL_032,ORNL,evergreenForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
13030,ORNL_033,ORNL,evergreenForest,distributed,basePlot,cdw|dhp|div|hbp|vst
13030,ORNL_033,ORNL,evergreenForest,distributed,tickPlot,
15414,ORNL_034,ORNL,pastureHay,distributed,basePlot,cdw|dhp|div|hbp|vst
15414,ORNL_034,ORNL,pastureHay,distributed,birdGrid,brd
15451,ORNL_035,ORNL,evergreenForest,distributed,basePlot,cdw|dhp|div|hbp|vst
15451,ORNL_035,ORNL,evergreenForest,distributed,birdGrid,brd
15723,ORNL_036,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
16747,ORNL_037,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
17515,ORNL_038,ORNL,evergreenForest,distributed,birdGrid,brd
19302,ORNL_039,ORNL,pastureHay,distributed,mammalGrid,mam
19579,ORNL_040,ORNL,evergreenForest,distributed,basePlot,div
19579,ORNL_040,ORNL,evergreenForest,distributed,birdGrid,brd
19579,ORNL_040,ORNL,evergreenForest,distributed,tickPlot,tck
20327,ORNL_041,ORNL,evergreenForest,distributed,basePlot,div
21303,ORNL_042,ORNL,pastureHay,distributed,mammalGrid,
23915,ORNL_043,ORNL,,tower,basePlot,bbc|bgc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
33734,ORNL_044,ORNL,pastureHay,distributed,basePlot,cdw|dhp|div|hbp|vst
34107,ORNL_045,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
36203,ORNL_046,ORNL,,tower,basePlot,bbc|bgc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
37830,ORNL_047,ORNL,pastureHay,distributed,basePlot,div
